depot_id,depot_address,volume
1000,"13101 Harold Green Road, Austin, Texas 78725",38
1001,"One Apple Park Way, Cupertino, CA 95014",236
1002,"One Apple Park Way, Cupertino, CA 95014",397
1003,"1 Microsoft Way, Redmond, WA 98052",73
1004,"1 Microsoft Way, Redmond, WA 98052",256
1005,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",394
1006,"13101 Harold Green Road, Austin, Texas 78725",204
1007,"One Pace Plaza, New York, NY 10038",134
1008,"1 Microsoft Way, Redmond, WA 98052",336
1009,"One Apple Park Way, Cupertino, CA 95014",449
1010,"One Apple Park Way, Cupertino, CA 95014",145
1011,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",130
1012,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",461
1013,"13101 Harold Green Road, Austin, Texas 78725",72
1014,"One Apple Park Way, Cupertino, CA 95014",238
1015,"One Apple Park Way, Cupertino, CA 95014",391
1016,"One Pace Plaza, New York, NY 10038",282
1017,"1 Microsoft Way, Redmond, WA 98052",179
1018,"One Pace Plaza, New York, NY 10038",277
1019,"13101 Harold Green Road, Austin, Texas 78725",255
1020,"13101 Harold Green Road, Austin, Texas 78725",358
1021,"One Apple Park Way, Cupertino, CA 95014",403
1022,"13101 Harold Green Road, Austin, Texas 78725",469
1023,"One Pace Plaza, New York, NY 10038",396
1024,"13101 Harold Green Road, Austin, Texas 78725",253
1025,"One Pace Plaza, New York, NY 10038",491
1026,"One Pace Plaza, New York, NY 10038",157
1027,"One Pace Plaza, New York, NY 10038",414
1028,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",399
1029,"One Apple Park Way, Cupertino, CA 95014",51
1030,"One Pace Plaza, New York, NY 10038",69
1031,"1 Microsoft Way, Redmond, WA 98052",216
1032,"One Apple Park Way, Cupertino, CA 95014",472
1033,"1 Microsoft Way, Redmond, WA 98052",490
1034,"One Pace Plaza, New York, NY 10038",242
1035,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",479
1036,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",353
1037,"One Apple Park Way, Cupertino, CA 95014",87
1038,"1 Microsoft Way, Redmond, WA 98052",142
1039,"One Pace Plaza, New York, NY 10038",490
1040,"One Pace Plaza, New York, NY 10038",394
1041,"One Apple Park Way, Cupertino, CA 95014",8
1042,"One Pace Plaza, New York, NY 10038",320
1043,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",318
1044,"One Pace Plaza, New York, NY 10038",23
1045,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",314
1046,"One Apple Park Way, Cupertino, CA 95014",2
1047,"1 Microsoft Way, Redmond, WA 98052",385
1048,"13101 Harold Green Road, Austin, Texas 78725",317
1049,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",210
1050,"1 Microsoft Way, Redmond, WA 98052",265
1051,"One Pace Plaza, New York, NY 10038",217
1052,"One Pace Plaza, New York, NY 10038",142
1053,"1 Microsoft Way, Redmond, WA 98052",116
1054,"1 Microsoft Way, Redmond, WA 98052",432
1055,"One Apple Park Way, Cupertino, CA 95014",491
1056,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",122
1057,"1 Microsoft Way, Redmond, WA 98052",457
1058,"1 Microsoft Way, Redmond, WA 98052",31
1059,"One Apple Park Way, Cupertino, CA 95014",72
1060,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",388
1061,"1 Microsoft Way, Redmond, WA 98052",455
1062,"One Pace Plaza, New York, NY 10038",406
1063,"One Apple Park Way, Cupertino, CA 95014",50
1064,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",314
1065,"1 Microsoft Way, Redmond, WA 98052",4
1066,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",453
1067,"One Pace Plaza, New York, NY 10038",281
1068,"1 Microsoft Way, Redmond, WA 98052",498
1069,"One Apple Park Way, Cupertino, CA 95014",44
1070,"One Apple Park Way, Cupertino, CA 95014",77
1071,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",27
1072,"One Apple Park Way, Cupertino, CA 95014",309
1073,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",337
1074,"13101 Harold Green Road, Austin, Texas 78725",110
1075,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",372
1076,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",298
1077,"One Pace Plaza, New York, NY 10038",467
1078,"One Pace Plaza, New York, NY 10038",16
1079,"13101 Harold Green Road, Austin, Texas 78725",65
1080,"One Apple Park Way, Cupertino, CA 95014",197
1081,"13101 Harold Green Road, Austin, Texas 78725",26
1082,"One Apple Park Way, Cupertino, CA 95014",368
1083,"13101 Harold Green Road, Austin, Texas 78725",227
1084,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",472
1085,"1 Microsoft Way, Redmond, WA 98052",392
1086,"One Pace Plaza, New York, NY 10038",283
1087,"One Apple Park Way, Cupertino, CA 95014",154
1088,"One Apple Park Way, Cupertino, CA 95014",105
1089,"13101 Harold Green Road, Austin, Texas 78725",23
1090,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",266
1091,"1600 Amphitheatre Pkwy, Mountain View, CA 94043",196
1092,"One Apple Park Way, Cupertino, CA 95014",488
1093,"One Apple Park Way, Cupertino, CA 95014",127
1094,"One Pace Plaza, New York, NY 10038",280
1095,"1 Microsoft Way, Redmond, WA 98052",382
1096,"13101 Harold Green Road, Austin, Texas 78725",357
1097,"One Pace Plaza, New York, NY 10038",156
1098,"1 Microsoft Way, Redmond, WA 98052",422
1099,"One Apple Park Way, Cupertino, CA 95014",314
